Invalid_Comments,keywords
good cancel cancelled,"['good cancel cancelled', 'good cancel', 'cancel cancelled', 'good', 'cancelled', 'cancel']"
downprioritized think something become nice should move also richard branson brand moment video not produced check alfie priority emailed alfie waiting response n n moving ticket state grooming should move yes moved backlog cancelling ticket since requirement depend come concepting,"['richard branson brand moment video', 'produced check alfie priority emailed', 'priority emailed alfie waiting response', 'check alfie priority emailed alfie', 'alfie priority emailed alfie waiting', 'richard branson brand moment', 'branson brand moment video', 'brand moment video not produced', 'moment video not produced check', 'produced check alfie priority', 'check alfie priority emailed', 'priority emailed alfie waiting', 'emailed alfie waiting response', 'moving ticket state grooming', 'video not produced check alfie', 'moved backlog cancelling ticket', 'ticket state grooming should move', 'move also richard branson brand', 'move yes moved backlog cancelling', 'alfie priority emailed alfie']"
fyi n n tested scenario qa found functionality working expected also checked setting prod warning message minute chat session end minute user min alert message get idle stage n nattaching s prod customer side chat window n n chat idle docx n nfyi checked tested setting prod qa not able reproduce issue looked case not able identify functionality not work time case happened not occurred made aware happens raise,"['window n n chat', 'fyi n n tested', 'prod qa not able reproduce', 'chat window n n chat', 'window n n chat idle', 'fyi n n tested scenario', 'session end minute user min', 'end minute user min alert', 'minute user min alert message', 'checked setting prod warning message', 'setting prod warning message minute', 'nfyi checked tested setting prod', 'prod customer side chat window', 'chat session end minute user', 'message minute chat session end', 'minute chat session end minute', 'warning message minute chat session', 'prod warning message minute chat', 'occurred made aware happens raise', 'happened not occurred made aware']"
check issue priority checked book not get infinite loader attaching video r n r n r n r nfyi r ni tried end still facing issue r nrefer attachment r n shore excursion r ncould look share correlationid not able reproduce find correlation id acfdd eb f bf bb complete charles session look issue priority n n untitled chls n n n na per analysis issue coming service not able discover iam url getting error service hit iam n n error get request connect dxpidentityaccessmanagementservice dxpidentityaccessmanagementservice failed connect timed nested exception org apache http conn connecttimeoutexception connect dxpidentityaccessmanagementservice dxpidentityaccessmanagementservice failed connect timed n n look n nfyi n check iam accessible service except ar think ar po stuck restarting service might help resolve issue check verified working close bug r n verified fix able book shore excursion infinite loading occurs ui user completes payment shore thing tap done button issue tracked r n r nso closing defect r nrefer attachment r n r n change status ticket cert test close defect r n r n verified not able book shore excursion voyage r ninfinite loading occurs ui r nrefer attachment r n not able book shorex r nre opening defect putting triage reopened issue reopened booking voyage issue also happening voyage,"['verified not able book', 'nfyi r ni tried end', 'priority n n untitled', 'tracked r n r nso', 'attachment r n shore', 'occurs ui r nrefer', 'iam n n error', 'book not get infinite', 'priority n n untitled chls', 'issue priority n n untitled', 'attachment r n shore excursion', 'hit iam n n error', 'loading occurs ui r nrefer', 'nrefer attachment r n shore', 'book not get infinite loader', 'checked book not get infinite', 'occurs ui r nrefer attachment', 'connect dxpidentityaccessmanagementservice dxpidentityaccessmanagementservice failed connect', 'dxpidentityaccessmanagementservice dxpidentityaccessmanagementservice failed connect timed', 'request connect dxpidentityaccessmanagementservice dxpidentityaccessmanagementservice failed']"
test latest built let know issue still exist r n r nthanks look like old bug pls verify found working tested last ship fyi working gon na close thanks checking,"['pls verify found working tested', 'bug pls verify found working', 'bug pls verify found', 'pls verify found working', 'verify found working tested', 'found working tested last ship', 'working tested last ship fyi', 'tested last ship fyi working', 'ship fyi working gon', 'fyi working gon na close', 'test latest built', 'gon na close thanks checking', 'latest built let know issue', 'bug pls verify', 'pls verify found', 'tested last ship fyi', 'verify found working', 'found working tested', 'working tested last ship', 'ship fyi working']"
able put thought prioritized dc implementation low priority moved correct should should not anymore decided not use richard video n n task follow confirm something want revisit n ncc,"['video n n task', 'correct should should not anymore', 'implementation low priority moved correct', 'put thought prioritized dc implementation', 'thought prioritized dc implementation low', 'prioritized dc implementation low priority', 'implementation low priority moved', 'low priority moved correct', 'put thought prioritized', 'prioritized dc implementation low', 'implementation low priority', 'low priority moved', 'priority moved correct', 'task follow confirm', 'follow confirm something want revisit', 'anymore decided not use richard', 'decided not use richard video', 'revisit n ncc', 'put thought', 'thought prioritized']"
closing ticket data coming qa nsorry guy bad,"['closing ticket data coming', 'coming qa nsorry guy bad', 'ticket data coming qa nsorry', 'data coming qa nsorry guy', 'closing ticket data', 'nsorry guy bad', 'ticket data coming', 'data coming qa nsorry', 'coming qa nsorry guy', 'closing ticket', 'guy bad', 'ticket data', 'data coming', 'coming qa nsorry', 'nsorry guy', 'closing', 'bad', 'ticket', 'data', 'coming']"
per requirement r nfyi confirm,"['requirement r nfyi confirm', 'nfyi confirm', 'requirement r nfyi', 'confirm', 'requirement', 'nfyi']"
item failed sprint goal moving next sprint also non compliance part owner make sure update work item requirement server search order cant cancel server cart no business rule made aware doesn allow one server cancel another server order guest need order cancelled shouldn wait server placed order another crew member closer help moment business rule confirm not something aware working expected want server able cancel order cancelling item failed sprint goal moving next sprint also non compliance part assignee team make sure update work item,"['server placed order another crew', 'expected want server able cancel', 'item failed sprint goal moving', 'cancelling item failed sprint goal', 'compliance part assignee team make', 'business rule made aware doesn', 'update work item requirement server', 'order cancelling item failed sprint', 'work item requirement server search', 'failed sprint goal moving', 'cancel order cancelling item failed', 'item failed sprint goal', 'make sure update work item', 'order cancelled shouldn wait server', 'item requirement server search order', 'sprint goal moving next sprint', 'owner make sure update work', 'team make sure update work', 'update work item requirement', 'compliance part assignee team']"
understand bug correctly issue logged non vip sailor should not see screen yes per requirement r n r nif not add additional detail,"['understand bug correctly issue logged', 'understand bug correctly issue', 'nif not add additional detail', 'bug correctly issue logged', 'correctly issue logged non vip', 'issue logged non vip sailor', 'understand bug correctly', 'add additional detail', 'bug correctly issue', 'correctly issue logged', 'issue logged non vip', 'logged non vip sailor', 'nif not add additional', 'understand bug', 'additional detail', 'bug correctly', 'correctly issue', 'issue logged', 'logged non vip', 'vip sailor']"
duplicate duplicate,"['duplicate duplicate', 'duplicate']"
invalid bug no requirement show additional comment server module shown delivery manager r n r nfyi closing defect not part requirement additional comment displayed delivery manager attached screenshot,"['displayed delivery manager attached screenshot', 'show additional comment server module', 'additional comment server module shown', 'comment server module shown delivery', 'server module shown delivery manager', 'comment displayed delivery manager attached', 'additional comment displayed delivery manager', 'requirement show additional comment server', 'part requirement additional comment displayed', 'requirement additional comment displayed delivery', 'delivery manager attached screenshot', 'nfyi closing defect not part', 'comment server module shown', 'server module shown delivery', 'module shown delivery manager', 'show additional comment server', 'additional comment server module', 'displayed delivery manager attached', 'additional comment displayed delivery', 'comment displayed delivery manager']"
working u also shown last sprint demo vv test latest drop confirm r n r nfyi used build non r feature included still wasnt launching see attached video n n n vid n n take look tested r shaking app shake champagne screen not displayed r n r n shakeforchampange mov could check let u know sc not working right team looking update fixed similar issue observed stage environment well refer attached recording n n stage n n retested issue cert build issue still exists n nplease find recording reference n n shake shampain not working mov n n latest build working fine test ship network per comment retested defect ship network r build shake champagne still not working n nplease find screen recording reference n n ship network r sc notworking n n follow step run sc ship n n fresh install sailor app n connect device ship wifi n run sailor application login sailor credential n dashboard loaded shake device three time n nfyi n n pls try ty n retest defect get back observation n n application going infinite load connected ship network blocked due r n r nwill test issue resolved retest blocker closed,"['notworking n n follow', 'working u also shown', 'nfyi n n pls', 'observation n n application', 'pls try ty n retest', 'video n n n vid', 'stage n n retested', 'mov n n latest', 'due r n r nwill', 'ship n n fresh', 'reference n n shake', 'recording n n stage', 'confirm r n r nfyi', 'network r sc notworking', 'notworking n n follow step', 'champagne still not working', 'reference n n ship', 'back observation n n application', 'ship n n fresh install', 'reference n n shake shampain']"
test latest drop havent faced issue see tile mood image broken see attached video n n x n n mood integrated cm hence whatever image see coming cm might fpos r n r nfyi dont believe final asset december fyi,"['fpos r n r nfyi', 'test latest drop havent faced', 'latest drop havent faced issue', 'test latest drop havent', 'final asset december fyi', 'latest drop havent faced', 'drop havent faced issue', 'havent faced issue see tile', 'nfyi dont believe final asset', 'dont believe final asset december', 'faced issue see tile mood', 'image broken see attached video', 'issue see tile mood image', 'tile mood image broken', 'mood image broken see attached', 'test latest drop', 'asset december fyi', 'latest drop havent', 'drop havent faced', 'havent faced issue']"
date displayed order placement not cancellation also no way cross verify actual canceled date date selected filter canceled date not displayed order tile n n confirm requirement added enhancement future release testing found cancellation date not appear order tile something want future enhancement not sure needed since order cancelled day placed n nwould available anywhere else supervisor manager n nif yes sure fine n nif no chat charles cary show cancellation date anywhere grid report no dont show cancellation date module time okay acceptable mvp absolutely need new backlog item n n add new backlog requirement cancel defect invalid new story created,"['item n n add', 'enhancement not sure needed', 'date not appear order', 'tile n n confirm', 'cancellation also no way cross', 'future enhancement not sure needed', 'backlog item n n add', 'tile n n confirm requirement', 'date not appear order tile', 'cancellation date not appear order', 'order tile n n confirm', 'chat charles cary show cancellation', 'future release testing found cancellation', 'backlog requirement cancel defect invalid', 'charles cary show cancellation date', 'show cancellation date module time', 'dont show cancellation date module', 'release testing found cancellation date', 'cross verify actual canceled date', 'enhancement future release testing found']"
rejecting defect work around root cause issue discovered,"['rejecting defect work around root', 'rejecting defect work', 'root cause issue discovered', 'defect work around root', 'work around root cause issue', 'rejecting defect', 'issue discovered', 'defect work', 'work around root', 'root cause issue', 'rejecting', 'discovered', 'defect', 'work', 'root', 'issue']"
r npoints part current sprint r npoint not valid request created housekeeping not reflect sailor app tablet r n duplicate close bug closing defect duplicate,"['duplicate close bug closing defect', 'close bug closing defect duplicate', 'valid request created housekeeping', 'request created housekeeping not reflect', 'created housekeeping not reflect sailor', 'housekeeping not reflect sailor app', 'reflect sailor app tablet', 'close bug closing defect', 'part current sprint r npoint', 'npoints part current sprint', 'bug closing defect duplicate', 'duplicate close bug closing', 'npoint not valid request created', 'part current sprint', 'valid request created', 'request created housekeeping', 'created housekeeping not reflect', 'housekeeping not reflect sailor', 'reflect sailor app', 'sailor app tablet']"
bug actual,"['bug actual', 'bug', 'actual']"
bug actual,"['bug actual', 'bug', 'actual']"
validate expected behavior r n user swipe left tap progress next screen refer document also available confluence page login register ux annotation pdf thanks still think ux little weird cancel ticket based note,"['weird cancel ticket based note', 'user swipe left tap progress', 'cancel ticket based note', 'user swipe left tap', 'swipe left tap progress', 'left tap progress next screen', 'tap progress next screen refer', 'progress next screen refer document', 'confluence page login register', 'page login register ux annotation', 'login register ux annotation pdf', 'weird cancel ticket based', 'validate expected behavior', 'ticket based note', 'expected behavior r n user', 'behavior r n user swipe', 'user swipe left', 'swipe left tap', 'left tap progress', 'tap progress next screen']"
check reproduce iphone reproduce always device yes reproduce always upgrade io working fine suggest put lower severity priority check iphone o n nplease provide u crash report device n nwe try check maybe found similar device remove access currently could say work o don see issue canceling duplicate,"['working fine suggest put lower', 'fine suggest put lower severity', 'suggest put lower severity priority', 'put lower severity priority check', 'found similar device remove access', 'lower severity priority check iphone', 'don see issue canceling duplicate', 'upgrade io working fine suggest', 'working fine suggest put', 'fine suggest put lower', 'suggest put lower severity', 'put lower severity priority', 'nplease provide u crash report', 'lower severity priority check', 'provide u crash report device', 'found similar device remove', 'similar device remove access', 'severity priority check iphone', 'issue canceling duplicate', 'crash report device n nwe']"
not sure team fix already spent day without success review per comment tested r cert build issue still exists r nrefer attachment r n prioritization thanks not back arrow visible much wider issue across entire app would like fix everywhere within app not within rts pregnancy therefore would like close defect create broad canceling defect n ncreated address fix back button implementation n nfyi created new feature address across app,"['app not within rts', 'close defect create broad canceling', 'defect create broad canceling defect', 'ncreated address fix back button', 'address fix back button implementation', 'spent day without success review', 'success review per comment tested', 'comment tested r cert build', 'button implementation n nfyi created', 'tested r cert build issue', 'back arrow visible much wider', 'arrow visible much wider issue', 'close defect create broad', 'defect create broad canceling', 'create broad canceling defect', 'back button implementation n nfyi', 'nfyi created new feature address', 'fix back button implementation', 'cert build issue still exists', 'broad canceling defect n ncreated']"
screenshot vv sailor app n n auto test start jacob fixed divider asset issue appearing good closing ticket thanks,"['auto test start jacob fixed', 'test start jacob fixed divider', 'start jacob fixed divider asset', 'jacob fixed divider asset issue', 'fixed divider asset issue appearing', 'divider asset issue appearing good', 'asset issue appearing good closing', 'issue appearing good closing ticket', 'auto test start jacob', 'test start jacob fixed', 'start jacob fixed divider', 'jacob fixed divider asset', 'fixed divider asset issue', 'divider asset issue appearing', 'asset issue appearing good', 'issue appearing good closing', 'appearing good closing ticket', 'screenshot vv sailor app', 'auto test start', 'test start jacob']"
validate let know bug complaint box editable case reopened past comment read field not updated reopened r n share requirement lock complaint field closure case review provide comment thanks review provide comment thanks confirmed jeff herzfeld accountid afcbebffacd navigator should not able edit comment complaint comment discussed meeting navigator use comment field enter comment case reopens would go past comment read complaint detail field editable navigator able edit reopened functionality working expected working expected,"['navigator should not able edit', 'functionality working expected working expected', 'confirmed jeff herzfeld accountid afcbebffacd', 'edit reopened functionality working expected', 'reopened functionality working expected working', 'jeff herzfeld accountid afcbebffacd navigator', 'field closure case review provide', 'closure case review provide comment', 'box editable case reopened past', 'past comment read complaint detail', 'requirement lock complaint field closure', 'share requirement lock complaint field', 'bug complaint box editable case', 'case reopened past comment read', 'read complaint detail field editable', 'reopened past comment read field', 'complaint field closure case review', 'lock complaint field closure case', 'field enter comment case reopens', 'complaint comment discussed meeting navigator']"
duplicatte r n r nfix release,"['nfix release', 'duplicatte r n r nfix', 'duplicatte', 'release', 'nfix']"
issue appears hard coded happens across different booking different sailor always show havana night deck aft pls share update havana night deck aft hard coded no work voyage taken yet cancel bug n n value hardcoded,"['bug n n value hardcoded', 'share update havana night deck', 'night deck aft pls share', 'show havana night deck aft', 'havana night deck aft pls', 'update havana night deck aft', 'havana night deck aft hard', 'night deck aft hard coded', 'deck aft pls share update', 'pls share update havana night', 'aft pls share update havana', 'havana night deck aft', 'show havana night deck', 'night deck aft pls', 'update havana night deck', 'night deck aft hard', 'sailor always show havana night', 'share update havana night', 'deck aft pls share', 'deck aft hard coded']"
fixed uat review confirm r ncc updated escalated view filter verify confirm able view escalated case view chrystian linares accountid cdddfefbaca confirm able view escalated case view working expected qa instance uat check confirm look good thanks story not associated sprint tested additional story added not related r n r nhi rupali cancelled bug not related additional story added not related sprint apology thank,"['story not associated sprint', 'related r n r nhi', 'story not associated sprint tested', 'case view chrystian linares accountid', 'sprint tested additional story added', 'escalated case view chrystian linares', 'escalated case view working expected', 'view chrystian linares accountid cdddfefbaca', 'ncc updated escalated view filter', 'updated escalated view filter verify', 'chrystian linares accountid cdddfefbaca confirm', 'view escalated case view chrystian', 'view escalated case view working', 'escalated view filter verify confirm', 'additional story added not related', 'view escalated case view', 'tested additional story added', 'related additional story added', 'chrystian linares accountid cdddfefbaca', 'nhi rupali cancelled bug']"
check reproduce problem also update defect correct detail team component etc tried sign ecomm web no issue try using url uat virginvoyages still notice issue let know step replicate thank sorry delay responding checked tried log using preexisting account didn encounter issue n n logged cert virginvoyages using active account r nno problem,"['update defect correct detail team', 'defect correct detail team component', 'preexisting account didn encounter issue', 'update defect correct detail', 'defect correct detail team', 'correct detail team component', 'delay responding checked tried log', 'log using preexisting account didn', 'preexisting account didn encounter', 'check reproduce problem also update', 'account didn encounter issue', 'reproduce problem also update defect', 'problem also update defect correct', 'url uat virginvoyages still notice', 'logged cert virginvoyages using active', 'cert virginvoyages using active account', 'active account r nno problem', 'sign ecomm web no issue', 'uat virginvoyages still notice issue', 'check reproduce problem']"
let u know need fixed require fix spinner rotation not control interim modal popup guide user not close browser window nothing r n r n confirm ok cancel yes defect canceled thank,"['fixed require fix spinner rotation', 'control interim modal popup guide', 'interim modal popup guide user', 'fixed require fix spinner', 'require fix spinner rotation', 'fix spinner rotation not control', 'spinner rotation not control interim', 'rotation not control interim modal', 'control interim modal popup', 'interim modal popup guide', 'modal popup guide user', 'popup guide user not close', 'guide user not close browser', 'user not close browser window', 'fixed require fix', 'require fix spinner', 'fix spinner rotation', 'spinner rotation not control', 'rotation not control interim', 'control interim modal']"
story blocked approval shared code repository integration story blocker marked label fed build could duplicate story also fyi r nthanks r nc,"['blocked approval shared code repository', 'approval shared code repository integration', 'blocker marked label fed build', 'story blocked approval shared code', 'shared code repository integration story', 'code repository integration story blocker', 'repository integration story blocker marked', 'integration story blocker marked label', 'story blocker marked label fed', 'blocked approval shared code', 'approval shared code repository', 'shared code repository integration', 'blocker marked label fed', 'marked label fed build', 'label fed build could duplicate', 'story blocked approval shared', 'code repository integration story', 'repository integration story blocker', 'integration story blocker marked', 'story blocker marked label']"
need verify sf get default currency nz au agency respective currency time not yet able booking r n r n,"['agency respective currency time', 'verify sf get default currency', 'agency respective currency', 'respective currency time', 'default currency nz au agency', 'currency nz au agency respective', 'verify sf get default', 'agency respective', 'time not yet able booking', 'default currency', 'respective currency', 'currency time', 'currency nz au agency', 'currency', 'verify', 'default', 'agency', 'respective', 'time', 'booking']"
must glitch see r nthanks r nc,"['glitch see r nthanks', 'glitch', 'nthanks']"
closing per comment,"['closing per comment', 'closing', 'comment']"
environment austria code r n r nthe country code seaware character country name character new country r n r ncc code mapped different shorter value external table needed see comment external table corresponding source code e g opentravel figure table field n linking ticket user story country state list assigning back decision made country deferring till confirmation list state country,"['country r n r ncc', 'country name character new country', 'code r n r nthe', 'list assigning back decision made', 'deferring till confirmation list state', 'state list assigning back decision', 'linking ticket user story country', 'assigning back decision made country', 'back decision made country deferring', 'decision made country deferring till', 'made country deferring till confirmation', 'ticket user story country state', 'country deferring till confirmation list', 'country state list assigning back', 'user story country state list', 'story country state list assigning', 'till confirmation list state country', 'nthe country code seaware character', 'country code seaware character country', 'field n linking ticket user']"
not currently session tab no video launch play button pressed fixed build work fine update status tested let walk tomorrow,"['video launch play button pressed', 'launch play button pressed fixed', 'play button pressed fixed build', 'button pressed fixed build work', 'pressed fixed build work fine', 'fixed build work fine update', 'build work fine update status', 'work fine update status tested', 'status tested let walk tomorrow', 'session tab no video launch', 'tab no video launch play', 'video launch play button', 'launch play button pressed', 'play button pressed fixed', 'button pressed fixed build', 'pressed fixed build work', 'fixed build work fine', 'build work fine update', 'work fine update status', 'fine update status tested']"
r nhi elmer deleon accountid cfeceefdece fixed assigning verification r n r nfyi luis gonzalez accountid aaabfecf cancel dup,"['gonzalez accountid aaabfecf cancel dup', 'elmer deleon accountid cfeceefdece fixed', 'deleon accountid cfeceefdece fixed assigning', 'accountid cfeceefdece fixed assigning verification', 'luis gonzalez accountid aaabfecf cancel', 'nhi elmer deleon accountid cfeceefdece', 'nfyi luis gonzalez accountid aaabfecf', 'accountid aaabfecf cancel dup', 'cfeceefdece fixed assigning verification', 'elmer deleon accountid cfeceefdece', 'deleon accountid cfeceefdece fixed', 'accountid cfeceefdece fixed assigning', 'luis gonzalez accountid aaabfecf', 'gonzalez accountid aaabfecf cancel', 'nhi elmer deleon accountid', 'nfyi luis gonzalez accountid', 'aaabfecf cancel dup', 'nhi elmer deleon', 'cfeceefdece fixed assigning', 'fixed assigning verification']"
test qa cert instance let know still facing issue r n r n checked qa not see contact associated account check r ncc r n r nlooks like data issue not bug r nif trying create reservation salesforce try sailor account refer comment data need created fmdc first flow salesforce associated user story not released,"['checked qa not see contact', 'sailor account refer comment data', 'nif trying create reservation salesforce', 'sailor account refer comment', 'created fmdc first flow salesforce', 'account refer comment data', 'create reservation salesforce try sailor', 'refer comment data need created', 'comment data need created fmdc', 'flow salesforce associated user story', 'reservation salesforce try sailor account', 'salesforce try sailor account refer', 'test qa cert instance', 'user story not released', 'bug r nif trying create', 'nif trying create reservation', 'created fmdc first flow', 'account check r ncc', 'create reservation salesforce', 'sailor account refer']"
test qa cert instance let know still facing issue checked qa not see contact associated account see two reservation associated check r ncc r n r nlooks like data issue not bug r nif trying create reservation salesforce try sailor account refer comment data need created fmdc first flow salesforce associated user story not released sprint,"['checked qa not see contact', 'sailor account refer comment data', 'user story not released sprint', 'created fmdc first flow salesforce', 'sailor account refer comment', 'nif trying create reservation salesforce', 'account refer comment data', 'comment data need created fmdc', 'flow salesforce associated user story', 'refer comment data need created', 'create reservation salesforce try sailor', 'salesforce try sailor account refer', 'reservation salesforce try sailor account', 'test qa cert instance', 'story not released sprint', 'bug r nif trying create', 'created fmdc first flow', 'user story not released', 'facing issue checked', 'nif trying create reservation']"
issue blocked n nand tested resolved reassign qa blocking item resolved tested per comment bug fixed won exists production cancelling defect,"['won exists production cancelling defect', 'comment bug fixed won exists', 'bug fixed won exists production', 'fixed won exists production cancelling', 'exists production cancelling defect', 'issue blocked n nand tested', 'comment bug fixed won', 'bug fixed won exists', 'fixed won exists production', 'won exists production cancelling', 'resolved reassign qa blocking item', 'reassign qa blocking item resolved', 'nand tested resolved reassign', 'tested resolved reassign qa blocking', 'blocked n nand tested resolved', 'blocking item resolved tested', 'tested per comment bug fixed', 'issue blocked n nand', 'production cancelling defect', 'item resolved tested per comment']"
clarify defect hard time understanding,"['clarify defect hard time understanding', 'clarify defect hard time', 'defect hard time understanding', 'clarify defect hard', 'hard time understanding', 'defect hard time', 'clarify defect', 'time understanding', 'defect hard', 'hard time', 'clarify', 'understanding', 'defect', 'hard', 'time']"
issue fixed assigning testing no option back button could provide detail validate bug rejected boarding screen should swipe functionality cancel bug,"['provide detail validate bug rejected', 'detail validate bug rejected boarding', 'validate bug rejected boarding screen', 'issue fixed assigning testing', 'fixed assigning testing no option', 'assigning testing no option back', 'testing no option back button', 'option back button could provide', 'back button could provide detail', 'button could provide detail validate', 'rejected boarding screen should swipe', 'boarding screen should swipe functionality', 'screen should swipe functionality cancel', 'provide detail validate bug', 'detail validate bug rejected', 'validate bug rejected boarding', 'bug rejected boarding screen', 'swipe functionality cancel bug', 'issue fixed assigning', 'fixed assigning testing']"
n ncan validate issue latest build n nthanks n nkranthi n ncc look rts helped creating bug working fine hotfix vv guest vv cert sailor app mobile v n nso closing bug,"['ncan validate issue latest build', 'rts helped creating bug working', 'helped creating bug working fine', 'creating bug working fine hotfix', 'ncan validate issue latest', 'validate issue latest build', 'issue latest build n nthanks', 'ncc look rts helped creating', 'working fine hotfix vv guest', 'guest vv cert sailor app', 'cert sailor app mobile', 'rts helped creating bug', 'helped creating bug working', 'creating bug working fine', 'bug working fine hotfix', 'ncan validate issue', 'validate issue latest', 'issue latest build', 'latest build n nthanks', 'build n nthanks n nkranthi']"
issue reproduced attached recording n n wearablepinchange n n bug app store release not yet developed fully r nlinked r n r ni pushing later sprint believe priority fr item need revisited r nfyi deferred actual user story implementation r nmsh,"['recording n n wearablepinchange', 'wearablepinchange n n bug', 'nfyi deferred actual user story', 'deferred actual user story implementation', 'user story implementation r nmsh', 'issue reproduced attached recording', 'bug app store release', 'revisited r nfyi deferred actual', 'nfyi deferred actual user', 'deferred actual user story', 'actual user story implementation', 'story implementation r nmsh', 'issue reproduced attached', 'reproduced attached recording', 'bug app store', 'app store release', 'store release not yet developed', 'release not yet developed fully', 'developed fully r nlinked', 'pushing later sprint believe priority']"
validate issue latest code drop thank assign person working,"['validate issue latest code drop', 'validate issue latest code', 'drop thank assign person working', 'issue latest code drop', 'latest code drop thank assign', 'code drop thank assign person', 'validate issue latest', 'assign person working', 'issue latest code', 'latest code drop', 'code drop thank assign', 'drop thank assign person', 'validate issue', 'person working', 'issue latest', 'latest code', 'code drop', 'drop thank assign', 'assign person', 'validate']"
duplicate n n n,['duplicate']
duplicate,['duplicate']
consistent rest screen check mark indicates edit mode yes user change something save button enabled display white arrow red saved user shown success screen tick red button confirm return account fyi,"['consistent rest screen check mark', 'button confirm return account fyi', 'save button enabled display white', 'button enabled display white arrow', 'display white arrow red saved', 'enabled display white arrow red', 'red button confirm return account', 'red saved user shown success', 'tick red button confirm return', 'white arrow red saved user', 'arrow red saved user shown', 'saved user shown success screen', 'user shown success screen tick', 'shown success screen tick red', 'confirm return account fyi', 'screen tick red button confirm', 'success screen tick red button', 'consistent rest screen check', 'check mark indicates edit mode', 'enabled display white arrow']"
r n r nthe issue mentioned occurred salesforce connection reset issue production defect id used tracking r nmsh r n r nthanks r ntejas closing another ticket open,"['mentioned occurred salesforce connection reset', 'connection reset issue production defect', 'nthe issue mentioned occurred salesforce', 'issue mentioned occurred salesforce connection', 'occurred salesforce connection reset issue', 'salesforce connection reset issue production', 'ntejas closing another ticket open', 'mentioned occurred salesforce connection', 'occurred salesforce connection reset', 'nthe issue mentioned occurred', 'issue mentioned occurred salesforce', 'salesforce connection reset issue', 'connection reset issue production', 'reset issue production defect', 'closing another ticket open', 'mentioned occurred salesforce', 'occurred salesforce connection', 'salesforce connection reset', 'production defect id used tracking', 'nthanks r ntejas closing']"
retest using new elmer deleon ic assigning per last comment fyi bug still exists assigning defect marking rohit singh bug fixed working fine verify update bug status accordingly r n r nfyi r n r nwe still issue r n r n created booking using guest detail r nfirst name rohit r nlast name connect r nemail rohitconnectbooking r ndob jan r n etc r n launch sailorapp register using guest detail r n username rohitconnectbooking password admin r n r n booking not auto linked pre cruise homepage r n recording reference august auto link failed booking cancelled hence not showing app working fine check let know n n n na soon guest completes registration sailor app account detail created ecomweb booking not displayed first time check attached recording n n n nplease retest let know behavior n n update issue booking displayed web not app delay experience booking linking environment due event sent updated seaware salesforce may need refresh app get linked booking confirm exact behaviour investigate properly delay expected see linked booking right booking also guest detail booking detail guest detail booking detail n nthis issue happens sailor access sailor app first time booking connected next time ward reservation auto connected logout login kill app open web able see reservation n nwe waiting min launching app n nplease let u know need information thanks understanding scenario better r n booked via web not signed flow sailor app not open r n open sailor app sign booking not linked yet r n kill app open see reservation kill app wait min login see reservation web see reservation linked soon sign confirm much time take link booked reservation account created app show come back response sailor app user profile call depends time taken get re event hitting salesforce hit sfdc link sailor reservation within sec wait time sign get linked booking would refresh reopen app,"['detail r n username', 'salesforce may need refresh', 'salesforce may need refresh app', 'web able see reservation', 'behavior n n update', 'scenario better r n booked', 'time taken get re event', 'open r n open', 'nfyi r n r nwe', 'recording n n n nplease', 'linked yet r n kill', 'booked via web not signed', 'open web able see reservation', 'behavior n n update issue', 'booking not displayed first time', 'confirm much time take link', 'open r n open sailor', 'booking right booking also guest', 'detail booking detail guest detail', 'detail guest detail booking detail']"
duplicate known issue,"['duplicate known issue', 'duplicate', 'issue']"
assigning back name need clarification requirement fmdc crm team r n r n rashmi full feature not deployed qa r n advise need escalate bug high priority r nthanks r nc r n not regarding booking website according detail edited sailor service correct wrong thanks n maria double checked s should ability update booking even reference story incorrect maria update r n r n cancel bug test case updated,"['deployed qa r n advise', 'wrong thanks n maria', 'correct wrong thanks n maria', 'wrong thanks n maria double', 'cancel bug test case updated', 'clarification requirement fmdc crm team', 'detail edited sailor service correct', 'edited sailor service correct wrong', 'reference story incorrect maria update', 'bug test case updated', 'clarification requirement fmdc crm', 'requirement fmdc crm team', 'rashmi full feature not deployed', 'website according detail edited sailor', 'detail edited sailor service', 'edited sailor service correct', 'sailor service correct wrong', 'advise need escalate bug high', 'escalate bug high priority', 'bug high priority r nthanks']"
duplicate existing bug,"['duplicate existing bug', 'duplicate existing', 'existing bug', 'duplicate', 'bug', 'existing']"
no idea one n nthanks n nc assuming ticket supposed assigned hence assigned let u know not queue,"['assuming ticket supposed assigned', 'assuming ticket supposed', 'ticket supposed assigned hence assigned', 'ticket supposed assigned', 'nthanks n nc assuming ticket', 'assuming ticket', 'ticket supposed', 'supposed assigned hence assigned', 'supposed assigned', 'idea one n nthanks', 'nthanks n nc assuming', 'queue', 'assigned', 'idea', 'nthanks', 'assuming', 'ticket', 'supposed', 'assigned hence assigned']"
