Invalid_Comments,Value
issue not reproducible integration qa environment attached evidence n n n dddc cf c cceb verified andfinding expected result closing ticket added point analysis,working as expected
waitlist notify feature not implemented till thus ar marked non editable approved thus requesting cancel bug n nfyi thanks confirmation,cancelling defect
continuous scroll new way implementing pagination across ar implemented way n ni agree time continuous scroll taking little longer expected accounting list screen looking issue issue raised inventory activity listing decided continous scrolling should switch page number button based listing every listing screen nfyr based discussion continuous scrolling efficient page number cancel defect per discussion n nmarking closed,cancelling defect
indira mentioned setup value record test record ignored hence cancelling defect,duplicate issue
valid bug don think received requirement user change no show checked id fine way currently working use functionality reverse no show charge n reversing no show charge story not implemented yet story implementation future n n cancel bug per comment sindhu cancelling dcp bug cancelling issue reversing no show part future sprint,cancelling defect
check business requirement confirm next step process n n uncheck sailor cancellation n nagreed business would like take story following n n cancelling ar admin application need check sailor checked condition apply following location n crew cancelling booking single one sailor going thru booking listing n crew cancelling slot thru inventory management n need work sailor app realize flow new experience required develop n ntherefore request cancel bug n nfyi link story taken cancel story story referring open question bug seeing answer heather also need get confirmation luis also soon solved plan story implemented cancel defect,cancelling defect
screenshot virgin voyage n n check changing status backlog dc update status sprint discussed so expected behaviour cancelling defect,working as expected
known issue mentioned release note well n cancelling issue duplicate,duplicate issue
vinay shared correct time dimension table good hence closing bug,duplicate issue
fyi dc support similar mention one close one marking duplicate n n since yestarday issue not issue related handled,duplicate issue
not able reproduce issue samuel test samuel test test sailor app cert shore user n nplease verify n ncc verified latest fe build unable reproduce n n de ea bf efbfe bug done should cancel changing issue cancelled not reproducible,reproducible or environment issue
qa comment working fine pfa snapshot recording n nfyi n n screenshot n n verify end fyi today ill ping tomorrow verify removing sailorvxp component good,working as expected
mute speaker icon descoped remove reference update ticket n n remember correctly outer line need content created studio produced icon dc going create circle shape n n n n asset cm youre good duplicate check,duplicate issue
nwe found ui cache issue properly fixed build not provide hot fix issue related ui removing blocker label n n provide thought n n working fine fe working fine fe n nfyi,reproducible or environment issue
happening well happening past visitor imported new visit date got known issue release seems encountered developement phase ok pls cancel one bug either one decide one cancel assigning back cancel bug one already added sprint,cancelling defect
added n w log n nhowever following two bug seem not reproducible not sure caused issue today earlier would helpful get rc till keeping close monitoring thank n n n nfyi cancelling ticket seems not reproducible,duplicate issue
might boarding group assignment not happening due getting null pointer exception discussed known issue story tracking n fixed,cancelling defect
network issue,duplicate issue
seems like network issue b w node connectivity assign syam n n check connection issue prod ship node could check let u know anything else required side n dc support seems hr ago pod restarted since issue not present n n n nnot sure restarted pod another ticket requested restart service node not restarted n n no no request restart service n could look mentioned pod restarted node not restarted update n dc support call syam today update assigning adding today analysis n nfyi duplicate canceling,duplicate issue
unable reproduce n n n ncan retest n ncc finding expected result,working as expected
two template meeting location required case n n meeting location changed ntemplate name voyage experience update meeting location ui nmeeting location change template activity code kick location see smiley n meeting time location changed ntemplate name voyage experience update meeting timelocation ui nmeeting time location change template n shore thing activity code kick time location n nin case meeting location present priority isn discussed n n entertainment event synced spark location should get mapped meeting location n shorex event crew member update meeting location ar n ntherefore slot should meeting location defined not need uid cm notification no meeting location defined n njust case reason meeting location not defined notification not sent n n confirm correct thanks,duplicate issue
position title implementation planned story took solution design not implementation r n r ncc information cancelling per,cancelling defect
thisi working expected,working as expected
im wondering second bullet nonissue safe assume no sailor voyage without filling health check got confused thought box meant interacted rather static information add list bug talk meeting n n screenshot cefa e ae e acdcb accurate health check response appear voyage meant information not changeable n nfor like leave test question qa not prod got bug open using test im going mark non issue n n know last question incorrect right ill cancel ticket confirmed question prod right one think fine otherwise need publishing ticket get updated prod shoreside n ni sync whatever prod qa health check bug completed testing done refined last question prod ok long youre aware wasn last question incorrect cancelling ticket,cancelling defect
according invision link shown filter closed n n n nthank n nclosing issue,duplicate issue
table management seaware inventory managed separately discussed business confirm would align inventory match should not defect paola confirm close bug confirm n nq inventory not marked ready table management seaware able book also no table available even though seaware permission book dining n nplease suggest rule booking dining seaware seaware inventory manually maintained outside table management f b team work closely seaware team set correct inventory should always align le table management defect invalid table management not control booking made seaware consume let know additional question thank user story related thing mentioned comment mentioned n nbecause sometimes creating problem sailor app team able book dining sailor app table management table not available not able assign n nclosing defect per comment,cancelling defect
fyi sokie trying test existing bug won work bug resolved resolved part story also note already bug logged should close one cancelling duplicate item mentioned linked,duplicate issue
attach seaware screen also entertainment event activity id value displayed present spark even synced sw spark original sor added screenshot sw onetouch ar greeter able see package code entertainment activity n nrefer attachment n nars gretter n n n nsw onetouch n n n n see ar crew not activity code activity slot code ar admin activity level always show activity code ar admin no ui activity slot code displayed n ni not sure field displayed ui sw sync get right activity code displayed ui ar n nif still need confirm value need check activity code id defined spark field not displayed ui sw n nthis bug invalid cancel bug n nfyi per comment discussion cancelling,cancelling defect
not vendor entertainment event mentioned field value not present entertainment event sw touch therefore not displayed ar n nplease cancel bug entertainment don vendor agreed change summary n ntags energy level field shouldn empty n ntransaction type data should displayed prepaid activity coming sw onetouch screen shot sw tag energy level defined entertainment event didn mention tag energy level coming sw onetouch cm could let u know tag energy level entertainment need get event go shipboard content check sailor app team show energy level entertainment event u add go verify ar sailor app consuming event content no field tag energy level spark sailor app n n retest n n update next step look defect let u know abt tag impact sailor app entertainment event not energy level used shore thing also not familiar transaction type dont like assume referencing bookable experience type should entertainment event fyi confirm n n transaction type vendor invoice not applicable entertainment event n energy level since sailor app doens use fine n tag used shorethings determine kind activity like relaxing cultured etc n n since not going use entertainment consider not bug n nfyi energy level not used entertainment event sailor app doesnt display tag entertainment event time good know flexibility go use future ty thanks confirmation,reproducible or environment issue
fyi exalated keep watch comment link blocked ticket thanks cc fyi ticket created add missing notification id cm no show per airtable missed wellness class activity event should sailor receive no show notification yes notification id uid need used n nfyi no new cm id required invalid request,duplicate issue
attachment missing also part greeter demo functional requirement pls open high assigning dc request add charles log check not checked functional sailor nearby proximity need search sailor name able check sailor not yes check select booked slot filter drop,duplicate issue
issue invalid screen user sign via social login n n could set avatar n nonce finish setup page click cta btn redirect welcome back page home page removing prod blocker label test step updated per story,cancelling defect
defer jake question got update nhence canceling one thanks,duplicate issue
hey check permission visibility integration question workspace,duplicate issue
fyi could share latest design don understand pri bug appears asking latest design comp posted don like current behavior validate behavior expecting n nplease explain based requirement bug logged n nhere design app last one year shore side option email vv n non ship side voip chat btns added work per design n nfor pre crusie working fine email option n nfor oncruise app also displaying mail option should option voip chat messenger n nfyi really p p kien kien remember story n n n nfor pre cruise side n nplease provide u story changed requirement ship side also see day ago validate issue related vip page n n n nand wasn issue reported yesterday functional n nthank provide story new requirement documented ship side user ask reported vv side n nalso check last messaged kien issue n kien kien n nalso see main story also don story change ship side ui should not made feature per design mail btn should remove ship side discussed email defect logged mail option n nkindly confirm requirement option seen rockstar landing page based email exchange added follow design highlight communication method vip n n shoreside couldn find story shipboard side created cancel ticket n n,cancelling defect
hey open ticket monitoring animation studio removed work sailor headline move copy test continue make improvement would like u keep loop n nthis ticket isnt really detailed right adding daily animation closing ticket due studio monitoring animated header,duplicate issue
per airtable no show notification should go no show fitness class n n airtable notification message correct no show notification app requirement missed fitness class n nfyi pls run scenario fitness class close issue doesnt apply thank cancel ticket,cancelling defect
today meeting cancelling event replaced real image publishing ticket isn finished yet,duplicate issue
current implementation per requirement received time implementation change required should come cr r n pls get change required cr flow description need story meeting today clarify behavior n n related story feature n n n n muster drill hasn happened yet least sailor cabin already watched safety drill video n n st entry cabin no one used cabin tablet expected page appear cabin tablet succeeding entry cabin expected page appear last screen cabin tablet left n n ticket fall n n no not work mention develop mastering story flow n n n n muster mode timeline device pdf page n n muster mode timeline device pdf n nadded flow story somehow new flow not share u don task story change ui backend see file mastering flow totally different n n n n muster mode timeline device pdf page n n muster mode timeline device aee bed bde fcfde pdf n n mastering old flow backend ui month app not broke recently reported validate app new documentation found issue agree not bug should come cr story u thank guy n njust jump flow haven changed last update made timeline ensure documentation clear user update made march discussed archana previous ba n n n nlet know question shouldn cr n na walk u ux flow muster drill cabin tablet tv sailor app sometime next week missing piece not implemented create story n n confirm defect first time sailor using cabin tablet not n n first time sailor using cabin tablet yes kindly mention defect changed blocked per comment waiting marline reply n nfyi flow enhanced new story address change ticket canceled n n,cancelling defect
one screen look like refund percent thus refund amount shown correct n na invalid cancel ticket reflecting correctly hence cancelling defect,cancelling defect
yes design changed development done update roadmap not cancel issue not seen story feature nwe try pick agree p defect create dev story following feature thanks future enhancement story ben created,cancelling defect
selling price entered selected vip level next button not appear done order user not click next button not enter value n nthis issue invalid cancel ticket selling price entered selected vip level next button not appear done order user not click next button not enter value n ncanceling issue dcp per comment expected behavior hence cancelled defect,cancelling defect
sw not configured capture no show charge n ni not sure sw cancellation charge attach sw screen cancellation charge mentioned noticing whether activity created sw onetouch issue referring coming sw onetouch doesn mean cancellation charge coming sw onetouch issue persists slot opened parent slot detail field missing cancellation no show still don understand saying data supposed come sw data should first defied sw not defined not get,duplicate issue
validation message applied vip level type also price therefore common message displayed could confirm okay term ui displaying common validation message vip level price even though already vip level selected think fine b coz vip level non vip fyi common message displayed even though select vip level vip non vip selling price not entered cancelled issue per confirmation,cancelling defect
cancelling bug due technical issue duplicate got created n,duplicate issue
validate bug raised revenue management mgm n nfyi observation absolutely correct able reproduce defect n nfyi assigned take web team not defect requirement change due miss original requirement tracked via following ticket thanks cancel already story identified get update ticket expect work done hadn yet prioritized discus getting added scope fyi,duplicate issue
observed internal server error charles log n n getting socket timeout call cm wrapper service n pls check vv cert ship n n n provide update blocker testing cabin service n n help nthanks nfyi na disuseed check cm service connection cabin bff pod connecting ni checked cm pod log error regarding redis key ni checked redis connection cm pod able connect redis checked issue not reproducible not sure change n n servicesreworking issue appeared not reproducible today observe internal server error charles log not sure made working fine n nfyi issue not reproducible r n closing per external reference n nrca cm wrapper service facing issue getting connection pool restart actually solved problem keep eye type issue better resolution n nthanks nfyi,reproducible or environment issue
trying add slot past day e invalid issue,duplicate issue
looking provide analysis time trying connect openvpn help u successfully connect u ship network try reproduce issue provide analysis ticket fyi n nplease check comment n n assign bff bug first thanks check master data portcode goa production db n ncc master data goa available db n ni want understand reason passing size supported size size return record ntry following url n pm n n n nfyi r n r nafter proper onboard process not facing issue however facing lot content missing setting except logout no option displaying creating separate issue cancelling issue r n r n screenrecording screenrecording r n created track content issue prod canceled one n nfyi,duplicate issue
not clear time talk n nfyi issue duplicate one fixed n nit working expected dev environment nfyr n due facing issue seems duplicate cancelling issue,reproducible or environment issue
converted dimension not sum data mentioned amount not correct referring commission amount yes number wrong provide example n n changed data type,duplicate issue
per knowledge new requirement would like take story instead bug n nfyi defect canceled could let know reason canceling confirm taken new requirement cancelled not needed new requirement,duplicate issue
pls help repro cert fyi still reproducible seems working end prod cert n n n n n n n n added visit anotehr past visitor albert donald sampson worked could see visit date created n ngoing back erin barton visitor tried looking got different visitor showing visit date one added click visit date not show visit date look priority correlation id aecb eeaf error coming reviewer visit deleted teammember database root cause should not face error new visitor n nand also chance withdraw visitor master data throwing error case future crew get deleted won lose visitor n nfyi yes working ensure even visit data corrupt still show visitor detail looked attached video recorded th june visit created rd june creating past visit not production scenario original issue mentioned summary not reproducible visitor seems due data along two issue due root cause corrupted data data created march data created deleted user n n n n n ncould review issue address data related issue ticket p get resolution close rest tix n nthoughts agree consolidate one ticket p agree issue seems not reproducible prod hotfix newly created visitor n npfa n n visit detail old data n n n n shore prod n n creating visitor ship prod consolidating issue issue r n r nvisitor visit created shoreside giving shipside,reproducible or environment issue
description isnt valid cancelling,duplicate issue
attach charles log n na per air table defined need send activity code not activity name notification service n n attach log waiting shore x notification received th july receive attach charles log attached refer attachment agree working expected n n should resolve issue yes verified onboard sailor unable reproduce n n screenshot verified cert hot fix build testflight onboard sailor able reproduce issue n n notification reminder charles log chls n n reminder notification shore x test data used n kenneth king kenneth king test nbooking reference voyage date th july bug invalid cm team changed activitycode activityname change dc team need update implementation new story regarding cancelling bug n nfyi,reproducible or environment issue
issue occured hoteldetails roomtype getting null backend not handled null case front end n n confirm ui roomtype coming null n n hide complete roomcard roomtype n find sample ui n hotelstaycard n hotelstaycard n n hotelstaycard would hide entire module user not pre post hotel booking e hotel detail null should not hiding hotel booking room room detail should not coming null could issue backend sw side n n n n look room category room type returned null hotel detail n nfyi re number call using user hotel reservation hotel n nres n nvoyagedashboard call n n try room type not set gone ahead selected thanks believe fixed broken page n n work vaibhav k hesham handle scenario room detail come back null front end fixed ui roomtype getting null backend should not break page code merged well reassign back tester n nbut still could see roomtype null hotel hotel dev look issue dawn updated room type set reason showing null response n nfyi retest thanks dev environment dont credential test qa environment dev test update evidence finding expected result qa environment user n n hotel hotel n nthis ticket closed,duplicate issue
removed release version ticket update ticket correct status not exalated waiver content not defined cm status show not signed comment content not defined scenario sign button not visible n n bug cigniti vv aware change needful fyi question creating new activity lot making waiver mandatory integration cm creates waiver data activity slot every time new activity creating inventory need create waiver data cm not creating new shorethings ar admin shipboard module not valid bug,duplicate issue
r n r nplease take decision per vv hight priority issue r n r nit seems ui issue sc assign maxiru team r n r ncc r n first time app launch animation not shown second time animation shown r n not issue n nwe testing speed not wait resource load launch pc n nsometimes download asserts total mb dc jaipur vpn took min n nwe aware finish pc staff fix rule wait resource load launch pc return back also test feature ship not face issue even rule not wait resource speed ship mb per second asserts sign intermediately download n nwhen dc vpn kb n nthat assign close issue thanks understanding also real life no one guest connect ship wifi intermediately start shake phone get champagne pas check n nunder good internet connection need second download cache pc resource based comment check close,duplicate issue
closing duplicate,duplicate issue
likely designed oversell lower level suite close working expected investigation based case salesforce cat working expected wanted make sure aware r nclosing ticket r nthanks r n chele system working designed,working as expected
see reservation protected commission first mate confirmation currently not triggered seaware based expected mentioned known issue protected commission agency confirmation issue reported previously awaiting permanent fix,duplicate issue
task user not add new activity entertainment inventoried enterntainment non inventoried event n nplease cancel bug,cancelling defect
closing duplicate linked issue,duplicate issue
check related booked cabin category issue checked couple id screen shot see cabin number null oracle etl reason cabin category generic populated null n n tracking issue jira team working fix n nthus cancelling defect duplicate duplicate,duplicate issue
pricing method editable activity level n nthis invalid bug request cancel fyi per comment closing bug fyi,cancelling defect
verify cert environment update whether issue exists cert not retested tell homepage sailor checked onboard not currently ship wifi retest retested cert observed link getting displayed onboard sailor checked day hence closing defect check stage also see statement closing verified defect still showing open unable reproduce closing defect reopen came across issue,reproducible or environment issue
duplicate,duplicate issue
discussed approach issue duplicate,duplicate issue
target fix ip assigned n nfyi duplicate,duplicate issue
nthe behavior see attached video default behavior samsung camera app nthe seek bar using not increase brightness device increase exposure subject whose picture taken nalso focus subject camera autofocus subject exposure level reset built behavior samsung camera app nthis behavior find open camera app directly not aci app samsung device whose video attached n nfyi think mark bug cancel behaviour observed samsung device video say behaviour samsung camera closing issue n n,cancelling defect
country code address section not related state country field address section field need entered manually not populate automatically based country state selection field related contact number rather state country r n r n r n r n r n r n r nthis country code need entered manually cancelling defect per comment,duplicate issue
could assist expected result payment routed galloway paying seems like payment routed mann clarify payment routing mann ar n nmann ar payment method credit card n nmann ar paying galloway ar based discussion ok leave ar ui booking screen business decides change field name later u know,working as expected
help per understanding url ship environment trying run shore side int environment n n chat integrationshore virginvoyages provide update close bug resolved got correct output attached screenshot n n screenshot n nfyi,duplicate issue
no rule defined ar handle requirement need handled thru story n nfyi could confirm whether taken new user story ok no rule close,cancelling defect
see connected wifi video try turning wifi nin scenario application showing offline might due low connectivity server might not available nlet know face issue turning wifi no scenario toast message not displayed check actual network connectivity displaying message mean offline showing ui aci gangway not sync actual network connectivity n nbecause system showing offline mean per user story should display toast message offline user story meant no connectivity not available connected network scenario disconnected vpn connection server not available application make online call assignment depends actual network availability not vpn status nand try assigning card turning wifi get errro message pop similar error message closing issue actual toast message appearing connectivity not available n n screenshot assisted check,cancelling defect
try entering full year right entering mm dd yy instead mm dd yyyy done still dc support cehcking an provide update soon screen recording mov n ndata excel italian sheet coming wrong import try exact data entered manually import work regardless dob format converting date column number uploading change data column number excel show first row match seeing visitor management should copy information new sheet like one without pasting formatting n n n n n n n n try changing format date column try n n n n try sheet attached right format visitor upload sheet fixed date work send one tried also fixed still see difference formatting excel cell formatted original format digit year must entered digit look original sheet date visit format full yyyy dob column yy n n anyway sent solution come issue future,reproducible or environment issue
new requirement implement aci gangway similar bug already reported earlier converted story nwe covering part nso think cancel bug per comment story closing issue,cancelling defect
issue exalated dc update status sprint took one maxiru jira bakai fixed build verified cabin tv tablet app cert release ver tv tablet build issue still reproducible find recording unable take charles log try attach log captured n n previousvisitstate hari n nthis work per requirement story n nct jumping section section n nin session user should able see section go different section return n nif filtering film entertainment jump room control dim light return entertainment section would expect see last section within session open something entertainment room control return entertainment entertainment state saved never requirement save last section one session switch entertainment tab serial tab episode session n nthis never requirement never work n nyour reported issue jump room control entertainment service state not saved yes issue fix rest should done should come story cr thanks fyi fyi taken cr per initial investigation would not possible poor performance application implementation nto find feasibility qualitative approach need time investigate could not done guy n ni wanted add experience point view checked like netflix amazon prime n nthe current behaviour defaulting back top page section totally fine expected behaviour user within browsing mode n n advise happy n nadam agree defaulting back top page section totally fine expected behavior therefore close,cancelling defect
getting expected display choose voyage page n n n nsw team could performing update task dev caused voyage display retest,reproducible or environment issue
fyi target hotfix assigned n nfyi based comment isverificationrequired should default value false not included object shouldn mean social signups verified default n ncc removing blocker label account verification related feature not going stage prod r n r nfyi moved isverificationrequired included request body value false assigned added isverificationrequired false key changeusername signup function even userprofile call emailverificationstatus coming not verified n nsignup ncorrelation id cc af aad aeeb n nuserprofile ncorrelation id ff f bbea bdceffe n n n n n nfyi social login behave exact way email login n n isverificationrequired true defines verification process need introduced system email sent verification n n isverificationrequired true defines verification process not introduced n nthere no option directly verify status without user interaction per earlier requirement confirm requirement team new functionality not originally planned feature result created story feature prioritized going forward bug,duplicate issue
marking blocked stage environment not reproducible stage qa environment retest close n nfyi intermittent issue,reproducible or environment issue
could plea check yes appears cancel looking think combination migration publishing issue provide update shortly thanks,cancelling defect
fyi dc support could look response seaware show n n noformat vx reservationid statuscode bookeddate type id id context seaware noformat n nstatuscode mean cancelled also look test reservation prepared month back possibly cancelled backend without generating kafka event n nfor investing time reservation wouldn make sense let u know case find active reservation problem investigate ticket prioritized reservation canceled show not checked gangway mentioned earlier look test reservation prepared month back possibly cancelled backend without generating kafka event n nfor investing time reservation wouldn make sense let u know case find active reservation problem investigate n nfor ticket not warrant action,duplicate issue
check iphone update verified production iphone version able add security photo successfully n n production version n nplease refer attached video n n bd ce f fdfffdb n nfyi seen comment not able reproduce issue production,duplicate issue
duplicate bug n n n ni added bakai case should handled app close issue track progress mine issue n nthis one issue not fully cover case mine n nthank also somehow issue not change title comment exalated n nso added manually cancel duplicate cancelling scenario added existing defect r,duplicate issue
n n noformat call status code nresponse n n noformat failedactivitycodes sc noformat n n noformat correlationid fabf ba ee ccdadfd noformat n ninitial analysis log report update issue r n duplicate dcp request cancel ticket also ticket duplicate request cancel ticket,duplicate issue
not ui issue reported cancel issue related change not done yet vv smart server assign back mention waiting resolving next time inform cigniti dependency cancel bug informed well comment story story not tested end end dependency smart server get resolved ui related issue should work tablet verify ui part not physical change cabin n nthis functionality working fine cabin living room per understanding functionality shouldn work even cabin also dependency see recording reference n n slivingroom n n need help n nfyi hariharanath kalvakunta not ui issue n non ui draw highlight light according response got backend could easily validate open network tab chrome dev tool check one one request response main page navigate suite bedroom living check w message chrome dev tool backend suite bedroom living already turn light n njust validate ui without checking response json backend not full testing n n different response issue n nalso duplicate issue reported dc release note not closed yet dependency should close track status issue n nthanks verify test prod cancel tix completed n n cancelling dependency suite room control functionality,duplicate issue
changing status backlog dc update status finished today need move advise n n fyi n n confirmed done today thank help kindly update status v avatar facebook chls n n per request log issue nfyi seeing charles log attached ticket description none guest bff call failing n ncc advise next spill plan fyi moving baae cd ebb adb ebfd screencast,duplicate issue
cancelled defect working new account tested older registered account detail didnot work issue one specific account personal detail not set properly facebook account r nit working expected new account old account data set proper r n r nfyi,duplicate issue
cancelling defect data issue worked fine scarletvirgin scarletvirgin test,duplicate issue
bug nd part bug moving corner case identified complexity implement change increasing create story progress tracked story therefore cancelling bug story need groom discussed aug rd assigning cancelled dcp story link bug requesting cancel bug created story track development needed better support multiple link coming seaware,cancelling defect
activity come shore thing cabana booking still not implemented n nfyi bimini cabana setup shore thing fyi let confirm due release suspend ticket understand concern share cabana setup shorethings pattern therefore make sure reqs jira description cabana clear fix make sure work get accommodated sadly close defect let work writing story requirement,cancelling defect
cancelling defect,duplicate issue
restart vv batch job intentionally via jenkins job closing ticket,duplicate issue
could restart dxpcore service n nfyi dc support fix issue lag coming topic need pod something else stopped adonis vxp sync two time week n nfyi need verify developer assign respective developer find cause issue restart dxpocore service experiencing lag kafka topic n n screenshot pm n nfyi issue repeating happened today hence changing ticket priority p n ncan look issue n nfyi duplicate already tracked,duplicate issue
assign someone n nit blocking notification implementation iet net event fyi refer notification requirement entertainment paid non paid edit cancel book should covered cancellation vv thru ar admin required notification not booking creation n n confirm notification paid un paid inventoried non inventoried implemented per requirement mentioned dcp jira version mentioned jira mentioned marlene comment n nfyi,working as expected
logged sailor user not logged yes user not logged not able reproduce see click email field enter email n n n nplease retest intermittent issue closing,reproducible or environment issue
trigger received reservation note several trigger delivery email address not provided n n screen shot pm n ni also see email triggered n n document code document type email address status timestamp n vv confirmation client jesse dirocco jesse dirocco opened n vv confirmation client jesse dirocco jesse dirocco opened n vv confirmation agent gmariano gmariano opened n vv confirmation client gmariano gmariano opened n vv confirmation client gmariano gmariano opened n vv hold cxl confirmation agent gmariano gmariano opened n vv hold cxl confirmation client jesse dirocco jesse dirocco delivered pm n nour record show confirmation triggered opened provided timestamps believe time mountain time r nso based attachment one say delivered rest agent confirmation say opened advise difference reservation expired first mate not happy fact not receive confirmation requested want sure give much info possible r nappreciate assistance r nthanks opened mean email delivered received event recipient actually opened email ticket closed confirmation show sent received unable recreate issue,duplicate issue
back back sailor remain checked voyage roll mxp following feature n n batch check functionality guest check guest n account get closed n credit card token set active n n individual check guest back back booking n previous booking checked automatically check next booking n account remains open n credit card token remains active n nin screenshot individual check probably used n n n thanks harry confirm tested step followed n n let u repeat sailor voyage july voyage n turnaround day settle balance sailor n mark sailor checked mxp n observe check checkbox upcoming voyage n checkbox automatically checked mean sailor get checked next voyage checking sailor previous voyage step followed sound like expected mxp functionality based harry said per comment harry closing issue,duplicate issue
no requirement restrict onboard checkout sailor also think should not restriction something should managed operationally might scenario checked guest need onboard ship e g left belonging ship something similar ground nso think restriction should not closing issue per comment fyi,working as expected
issue exalated changing status backlog dc assign sprint update status verified production environment able see invalid date shore x splash page offered booking reservation voyage start date july per rule shore ex booking start day voyage start normal guest attached video showing march correct per calculation could pl let know missing something date expecting see message production sailing check per discussion result seen expected not bad user experience either n ncancelling defect,reproducible or environment issue
highlighted sentence mean configurable value kept initially alert displayed display alert not balance value never requirement show balance sailor numeric value nbut also changed directly show alert balance negative positive alert not shown nplease mark bug cancel update user story accordingly closing issue,cancelling defect
n nthanks bringing also raised similar task past week related issue n n accounted switching voyage gloria point experience expectation should seamless whilst board using ship wifi should able go future voyage complete rts required n na agreed issue related however not issue need triaged separately able chat alfie back office next week try bring together different aspect use case n nthanks might consider perhaps disabling switch voyage button onboard ship depending business decision concerned no infrastructure flow rts info ship back shoreside keep ticket updated discussion discussed alfie today comment confirm expectation future voyage access onboard ship app should use shipboard wifi send data shoreside rts booking n nassigning luis consideration future discussion infrastructure team may needed valid defect case back back sailor need ability work next sailing onboard ship pls discus item part switch voyage conversation last year pls let know need revisit thanks sure discus change app bacend need groom story backend front end also need analysis sprint could committed changing status backlog removed sprint per discussion triage went back voyage switch feature scenario wasn accounted created new feature cover voyage switch shipboard mode n n close bug taking different feature pls see also linked bug new feature keep track scenario thanks canceled thanks,cancelling defect
still issue should assigned retest latest build attach log working fine n n recording n n signin sign cta,reproducible or environment issue
mistake go ahead cancel bug made error no worry,cancelling defect
review seems working fine yeah seems working fine go ahead cancel bug,working as expected
anything needed integration team ticket description look like internal dc issue let know thanks looking issue internally team closing incident duplicated,duplicate issue
looking update status issue not reproducible end n n n screen recording pm mov n n n provide u detail like network using nare using vpn not ncan provide correlation id find attached video correlation id n nyes using prod vpn access server hostname n ncorrelationid fcbca dadc bc cfabaf n nplease note initially faced issue activity later logged logged unable reproduce issue activity activity could reproduce issue n n activity infinite loading confirm whether content defined mentioned activity cm could help check content cm could help check content defined cm not observing api failure erroneous share log case n nsomeone ui confirm content cm wrapper service middleware ui magnolia n nthanks tried reproduce issue found n n activity getting n response image also not loading correctly n activity code eywdrv n activity name code appearing activity dashboard page tap activity load detail getting n activity name n screenshot n screenshot n n find video attached n n screen recording mov n napi n curl command n n experience api curl n n checked activity getting content cm n n screenshot n find log n n n log file har n n find kibana link n getting language not allowed error cm n nfyi dc support activity name see activity listing page come ar database activity detail page data come cm system confirm cm team content defined published cm per knowledge alex murphy verify presence content cm system look side could provide update share analysis,duplicate issue
working fine stage refer n n no post latin classical cooking class miayumvs shore thing available miami port seaware either need made available seaware should removed cm port editorial page not sure system correct n nfyi hello no shore thing built seaware seen date shore thing selected miayumvs contacted shore thing team advise available shore thing date soon get update provide one accordingly n nfyi follow comment n nthe shore thing team advised no shore thing since miami shore thing post voyage date debarkation day n n hello got question n n shore thing not available sw requested unpublished cm team happen ready published cm made aware make change n need business relates shore thing unpublished process done time answer question unpublish card th october voyage date th october miami port ops team should work mkt team unpublish excursion not available communication publishing unpublishing shore thing cm manual step ops mkt seems particular case ops team must relay information mkt unpublished team not unpublish single instance excursion one specific voyage cm content global meant represent marketing offering overall n nwe should not case excursion featured shore thing guide not sold case marketing team must advised not selling shore thing feature something else global itinerary n nwe discussed discover search result seaware sor availability whether shore thing sold cm store marketing content not individual sailing excursion instance level validate issue come guide part app thank issue coming guide part app r na per step go mia port guide detail page tap excursion available guide page getting found area error screen assign issue dc issue content guide not dc issue displaying page passed cm apparently shore thing ops make tour unavailable sw hope help gave wanted check package code cm,duplicate issue
fyi looking using new credential given chris cabin host michael manalo mm virgin working fine closing issue n n,working as expected
confirm working designed provide detail mxp screenshots well originating message sent mxp add mxp screenshots person saw also provide example crew id happened hey discussing seeing adonis mxp feeling working intended however pasted screenshots green adonis planned second screenshot mxp registering n nhowever crew onboard example jenny hardtman joel halasan confused green cabin allocation date user error n n n n n n n nupdate ship n nhey michael n n n ni saw something think may cause no replication n nwhen search name found person current assignment future think may cause n n n ni try berth let know n n n nsee example donatus habets n n repost see fyi closing per handled operationally,working as expected
seems dup,duplicate issue
help triage bug related root cause bug tag changed cm end photo video not informed dc team ok ill cancel duplicate,cancelling defect
canceling bug dup n nfyi,duplicate issue
thank per philippa canceling shore thing not supposed trigger email,duplicate issue
fyi n nthanks n nc,working as expected
comment r n r nalso could make one ticket one page content issue seem like lot ticket step,duplicate issue
updated requirement,duplicate issue
duplicate r nplease track,duplicate issue
issue,duplicate issue
working retest right today deployment done r n updated ticket one four port cant book shore thing port puerta plata july sailing excursion exist port seaware retest confirm seaware existing seaware assign don believe correct person haha right n n fyi remember puerto plata not available march thanks confirming look like need figure july puerto plata not returned system update fyi sail date not window danny mention n cancel since outside date window,reproducible or environment issue
